p.id	i.id	t.id	i.description	i.itemEtt	i.language	i.maxPolicyPhase	i.p.data_source	i.p.reference_text_0	i.parameter.description	i.parameter.source	i.parameter.source_rtl	i.parameter.srclang	i.parameter.target_rtl	i.parameter.trans0	i.parameter.trans0_display	i.parameter.trans1	i.parameter.trans1_display	i.parameter.trglang	i.status	i.tag	t.actualTaskTimeSeconds	t.estimatedTaskTimeMinutes	t.firstAcquireTimestamp	t.firstSubmitTimestamp	t.lastAcquireTimestamp	t.lastSubmitTimestamp	t.raterId	t.raterLogin	t.s.sys0	t.s.sys1	t.status	t.timestamp
167591123	56187733742	8655538362	2004年在《中国物种红色名录》中青海湖裸鲤被列为濒危物种。	0.5	Chinese_Simplified (CN)	0	unknown_source	In 2004, gymnocypris przewalskii was listed as an endangered species in the Red List of Chinese Species.	2004年在《中国物种红色名录》中青海湖裸鲤被列为濒危物种。	2004年在《中国物种红色名录》中青海湖裸鲤被列为濒危物种。	false	Chinese	false	In 2004, the naked carp of Qinghai Lake was listed as an endangered species on the Chinese Species Red List.	In 2004, the naked carp of Qinghai Lake was listed as an endangered species on the Chinese Species Red List.	In 2004, the naked carp of Qinghai Lake was listed as an endangered species in the Chinese Species Red List.	In 2004, the naked carp of Qinghai Lake was listed as an endangered species in the Chinese Species Red List.	English	Completed		35	0.5	1700035431129	1700035466415	1700035431129	1700035466415	56089077	a...r@gmail.com	4	3	Completed	1700035466415
167591123	56187733743	9434468501	智能手术灯：医生的高能眼睛	0.5	Chinese_Simplified (CN)	0	unknown_source	Smart operation lamp: high-functioning eyes for doctors	智能手术灯：医生的高能眼睛	智能手术灯：医生的高能眼睛	false	Chinese	false	Intelligent surgical lights: the doctor's high-powered eyes	Intelligent surgical lights: the doctor's high-powered eyes	Smart operating lights: the doctor's high-powered eyes	Smart operating lights: the doctor's high-powered eyes	English	Completed		32	0.5	1699768817143	1699768848845	1699768817143	1699768848845	56225225	b...r@gmail.com	3	3	Completed	1699768848845
167591123	56187733744	9434205810	正宗的红方威味道有些酸涩,加入糖可以中和其中的酸味,柠檬则会给酒带来清新的香味,当然,甜酸度可根据个人的口味爱好调配。	0.5	Chinese_Simplified (CN)	0	unknown_source	Authentic Red Label whisky tastes a little sour; adding sugar can neutralize the sour taste, lemon will bring fresh fragrance to the wine, and of course, the sweetness and sourness can be adjusted according to personal tastes.	正宗的红方威味道有些酸涩,加入糖可以中和其中的酸味,柠檬则会给酒带来清新的香味,当然,甜酸度可根据个人的口味爱好调配。	正宗的红方威味道有些酸涩,加入糖可以中和其中的酸味,柠檬则会给酒带来清新的香味,当然,甜酸度可根据个人的口味爱好调配。	false	Chinese	false	Authentic red square Wei has a sour and astringent taste. Adding sugar can help neutralize the sourness, and lemons add a fresh flavor to the wine. Of course, the sweetness and sourness can be adjusted to suit individual tastes.	Authentic red square Wei has a sour and astringent taste. Adding sugar can help neutralize the sourness, and lemons add a fresh flavor to the wine. Of course, the sweetness and sourness can be adjusted to suit individual tastes.	The authentic red wine has a sour and astringent taste. Adding sugar can neutralize the sourness, and lemon will bring a fresh fragrance to the wine. Of course, the sweetness and sourness can be adjusted according to personal taste.	The authentic red wine has a sour and astringent taste. Adding sugar can neutralize the sourness, and lemon will bring a fresh fragrance to the wine. Of course, the sweetness and sourness can be adjusted according to personal taste.	English	Completed		32	0.5	1699770257445	1699770289077	1699770257445	1699770289077	56225225	b...r@gmail.com	2	3	Completed	1699770289077
167591123	56187733745	8651817057	白木耳的作用：味甘、性平，归肺、胃、肾经；有强精、补肾、润肠、益胃、补气、和血、强心、滋阴、润肺、生津、壮身、补脑、提神、美容、嫩肤、延年益寿之功效；用于治肺热咳嗽、肺燥干咳、妇女月经不调、胃炎、大便秘结等病症；对阴虚火旺不受参茸等温热滋补的病人是一种良好的补品	0.5	Chinese_Simplified (CN)	0	unknown_source	Functions of tremella: sweet in taste and neutral in nature, belong to channels of lung, stomach and kidney, have the effects of strengthening sperm, tonifying kidney, moistening intestine, nourishing stomach, tonifying vitality and blood, strengthening heart, nourishing yin, moistening lungs, promoting secretion, strengthening body, tonifying brain, refreshing beauty, tendering skin and prolonging life; it is used for treatment of diseases such as lung-heat type cough, dry-lung cough, menstrual irregularity of women, gastritis and constipation; it is a good tonic for patients with excessive heat and yin deficiency but are not suitable for warm tonic such as ginseng and velvet antler.	白木耳的作用：味甘、性平，归肺、胃、肾经；有强精、补肾、润肠、益胃、补气、和血、强心、滋阴、润肺、生津、壮身、补脑、提神、美容、嫩肤、延年益寿之功效；用于治肺热咳嗽、肺燥干咳、妇女月经不调、胃炎、大便秘结等病症；对阴虚火旺不受参茸等温热滋补的病人是一种良好的补品	白木耳的作用：味甘、性平，归肺、胃、肾经；有强精、补肾、润肠、益胃、补气、和血、强心、滋阴、润肺、生津、壮身、补脑、提神、美容、嫩肤、延年益寿之功效；用于治肺热咳嗽、肺燥干咳、妇女月经不调、胃炎、大便秘结等病症；对阴虚火旺不受参茸等温热滋补的病人是一种良好的补品	false	Chinese	false	Tremella fuciformis has sweet taste and a neutral property. It belongs to the lung, stomach and kidney meridians. It can strengthen the essence, replenish the kidney, nourish the intestines, benefit the stomach, replenish qi, regulate blood, strengthen the heart, nourish yin, moisten the lungs, generate fluid, invigorate the body, replenish the brain, refresh the mind, beautify the skin, and prolong life. It is used to treat lung heat cough, lung dryness and dry cough, irregular menstruation in women, gastritis, constipation and other diseases. It is a good tonic for patients with yin deficiency and hyperactivity of fire who are not affected by warm and hot tonics such as ginseng and antler.	Tremella fuciformis has sweet taste and a neutral property. It belongs to the lung, stomach and kidney meridians. It can strengthen the essence, replenish the kidney, nourish the intestines, benefit the stomach, replenish qi, regulate blood, strengthen the heart, nourish yin, moisten the lungs, generate fluid, invigorate the body, replenish the brain, refresh the mind, beautify the skin, and prolong life. It is used to treat lung heat cough, lung dryness and dry cough, irregular menstruation in women, gastritis, constipation and other diseases. It is a good tonic for patients with yin deficiency and hyperactivity of fire who are not affected by warm and hot tonics such as ginseng and antler.	The effects of white fungus: sweet taste, flat nature, enter the lung, stomach, kidney meridian; have the effects of strengthening essence, kidney, intestine, stomach, qi, blood, heart, yin, lung, thirst, body, brain, refreshing, beauty, skin, longevity; used to treat lung heat cough, lung dry cough, women's irregular menstruation, gastritis, constipation and other diseases; for patients with yin deficiency and fire, it is a good tonic for patients who are not affected by warm and hot tonic such as ginseng and antler.	The effects of white fungus: sweet taste, flat nature, enter the lung, stomach, kidney meridian; have the effects of strengthening essence, kidney, intestine, stomach, qi, blood, heart, yin, lung, thirst, body, brain, refreshing, beauty, skin, longevity; used to treat lung heat cough, lung dry cough, women's irregular menstruation, gastritis, constipation and other diseases; for patients with yin deficiency and fire, it is a good tonic for patients who are not affected by warm and hot tonic such as ginseng and antler.	English	Completed		29	0.5	1699768726909	1699768756075	1699768726909	1699768756075	56225225	b...r@gmail.com	3	2	Completed	1699768756075
167591123	56187733746	8657089136	（微博@南海战略态势感知） 美三航母集结中国周边 最强大武器罕见访问关岛 2022年1月17日，美军舰载运输机CMV-22B飞行路线。	0.5	Chinese_Simplified (CN)	0	unknown_source	(Weibo @SouthChinaSeaStrategicSituationDetection) three US aircraft carriers assembled around China; the most powerful weapon paid a visit to Guam in a rare case; on January 17, 2022, the flight route of the US carrier-borne transport aircraft CMV-22B.	（微博@南海战略态势感知） 美三航母集结中国周边 最强大武器罕见访问关岛 2022年1月17日，美军舰载运输机CMV-22B飞行路线。	（微博@南海战略态势感知） 美三航母集结中国周边 最强大武器罕见访问关岛 2022年1月17日，美军舰载运输机CMV-22B飞行路线。	false	Chinese	false	(Weibo @South China Sea Strategic Situation Perception) Three US aircraft carriers gather around China. The most powerful weapon rarely visits Guam. On January 17, 2022, the flight path of the US Navy's CMV-22B carrier-based transport aircraft.	(Weibo @South China Sea Strategic Situation Perception) Three US aircraft carriers gather around China. The most powerful weapon rarely visits Guam. On January 17, 2022, the flight path of the US Navy's CMV-22B carrier-based transport aircraft.	(Weibo @South China Sea Strategic Situation Perception) Three US aircraft carriers gather around China, the most powerful weapon rarely visits Guam. On January 17, 2022, the flight path of the US Navy's CMV-22B carrier-based transport aircraft.	(Weibo @South China Sea Strategic Situation Perception) Three US aircraft carriers gather around China, the most powerful weapon rarely visits Guam. On January 17, 2022, the flight path of the US Navy's CMV-22B carrier-based transport aircraft.	English	Completed		32	0.5	1700035728185	1700035759939	1700035728185	1700035759939	56089077	a...r@gmail.com	3	3	Completed	1700035759939
167591123	56187733747	8653113854	近年来，省委、省政府大力支持茶产业发展，推进千亿湘茶产业建设，形成“三湘四水五彩茶”的发展格局。	0.5	Chinese_Simplified (CN)	0	unknown_source	In recent years, the provincial Party committee and the provincial government have vigorously supported the development of the tea industry, promoted the construction of the Hunan tea industry of 100 billion and formed the development pattern of “three Xiang, four rivers, and five colors of tea”.	近年来，省委、省政府大力支持茶产业发展，推进千亿湘茶产业建设，形成“三湘四水五彩茶”的发展格局。	近年来，省委、省政府大力支持茶产业发展，推进千亿湘茶产业建设，形成“三湘四水五彩茶”的发展格局。	false	Chinese	false	In recent years, the Provincial Party Committee and Government have vigorously supported the development of the tea industry, promoted the construction of the trillion-yuan Hunan tea industry, and formed a development pattern of “Three Hunan Rivers and Four Waters and Five Colorful Teas”.	In recent years, the Provincial Party Committee and Government have vigorously supported the development of the tea industry, promoted the construction of the trillion-yuan Hunan tea industry, and formed a development pattern of “Three Hunan Rivers and Four Waters and Five Colorful Teas”.	"In recent years, the provincial party committee and government have vigorously supported the development of the tea industry, promoted the construction of the trillion-yuan Hunan tea industry, and formed a development pattern of ""Three Rivers and Four Waters, Five Colorful Teas""."	"In recent years, the provincial party committee and government have vigorously supported the development of the tea industry, promoted the construction of the trillion-yuan Hunan tea industry, and formed a development pattern of ""Three Rivers and Four Waters, Five Colorful Teas""."	English	Completed		36	0.5	1699928151759	1699928187489	1699928151759	1699928187489	57056787	f...r@gmail.com	5	4	Completed	1699928187489
167591123	56187733748	8657152279	从 7 点到现在 9:30 都还没有送到，必须要退还订金及取消订单	0.5	Chinese_Simplified (CN)	0	unknown_source	It hasn’t arrived since 7 o’clock and now it’s 9:30, and you must refund the deposit and cancel the order.	从 7 点到现在 9:30 都还没有送到，必须要退还订金及取消订单	从 7 点到现在 9:30 都还没有送到，必须要退还订金及取消订单	false	Chinese	false	From 7 o'clock until 9:30 they have not arrived, the order should be cancelled and the deposit refunded.	From 7 o'clock until 9:30 they have not arrived, the order should be cancelled and the deposit refunded.	From 7:00 to 9:30, it has not been delivered yet. The deposit must be refunded and the order cancelled.	From 7:00 to 9:30, it has not been delivered yet. The deposit must be refunded and the order cancelled.	English	Completed		29	0.5	1700034968617	1700034998011	1700034968617	1700034998011	56089077	a...r@gmail.com	2	3	Completed	1700034998011
167591123	56187733749	8653834653	但口水鸡是否可退款	0.5	Chinese_Simplified (CN)	0	unknown_source	But can I ask for a refund of the Poached Chicken with Chili Sauce?	但口水鸡是否可退款	但口水鸡是否可退款	false	Chinese	false	But is the mouth watering chicken refundable?	But is the mouth watering chicken refundable?	But is the saliva chicken refundable?The correct translation is: But is the saliva chicken refundable?	But is the saliva chicken refundable?The correct translation is: But is the saliva chicken refundable?	English	Completed		48	0.5	1699976737392	1699976785859	1699976737392	1699976785859	56529284	m...r@gmail.com	3	5	Completed	1699976785859
167591123	56187733750	8657088794	各种推卸责任，还有很多细节，不想一一说了都是泪，总之不要选择他们，因为我朋友找他们装修的房子也是质量不好，后期给你算各种费用。	0.5	Chinese_Simplified (CN)	0	unknown_source	They just shrunk their responsibility in any way possible, and there were a lot more details that I don’t want to mention now; all in all, do not choose them because my friend had them renovate her apartment, and the quality was poor and they would charge you all kinds of other costs in the later stage.	各种推卸责任，还有很多细节，不想一一说了都是泪，总之不要选择他们，因为我朋友找他们装修的房子也是质量不好，后期给你算各种费用。	各种推卸责任，还有很多细节，不想一一说了都是泪，总之不要选择他们，因为我朋友找他们装修的房子也是质量不好，后期给你算各种费用。	false	Chinese	false	They shirk responsibility in all kinds of ways, and there are many details I won't go into here for reasons that are too painful to describe. In short, I strongly advise you not to go with this company, because my friend had a very poor experience with them when they renovated his house, and he ended up having to pay for all sorts of unnecessary expenses.	They shirk responsibility in all kinds of ways, and there are many details I won't go into here for reasons that are too painful to describe. In short, I strongly advise you not to go with this company, because my friend had a very poor experience with them when they renovated his house, and he ended up having to pay for all sorts of unnecessary expenses.	They shirk responsibility in all kinds of ways, and there are many details. I don't want to talk about them one by one, because they are all tears. In short, don't choose them, because the house my friend asked them to decorate is also of poor quality, and they will charge you for various expenses in the later stage.	They shirk responsibility in all kinds of ways, and there are many details. I don't want to talk about them one by one, because they are all tears. In short, don't choose them, because the house my friend asked them to decorate is also of poor quality, and they will charge you for various expenses in the later stage.	English	Completed		30	0.5	1700034505129	1700034534716	1700034505129	1700034534716	56089077	a...r@gmail.com	2	3	Completed	1700034534716
167591123	56187733751	9434468852	真心推荐大家去宣汉金夫人拍婚纱照！	0.5	Chinese_Simplified (CN)	0	unknown_source	I sincerely recommend choosing Xuanhan Mrs. Gold to take your wedding dress photoshoot!	真心推荐大家去宣汉金夫人拍婚纱照！	真心推荐大家去宣汉金夫人拍婚纱照！	false	Chinese	false	'I sincerely recommend everyone to go to Xuanhan Jinfu to take wedding photos!' is a correct translation. However, it is too short and bland. We can improve the translation by adding more details and making it more interesting.For example, we can write: 'If you're looking for a beautiful and affordable place to take your wedding photos, look no further than Xuanhan Jinfu! With their stunning scenery and professional staff, you're sure to have a memorable experience. So what are you waiting for? Book your appointment today!'	'I sincerely recommend everyone to go to Xuanhan Jinfu to take wedding photos!' is a correct translation. However, it is too short and bland. We can improve the translation by adding more details and making it more interesting.For example, we can write: 'If you're looking for a beautiful and affordable place to take your wedding photos, look no further than Xuanhan Jinfu! With their stunning scenery and professional staff, you're sure to have a memorable experience. So what are you waiting for? Book your appointment today!'	I sincerely recommend everyone to go to Xuanhan Jinfu to take wedding photos!	I sincerely recommend everyone to go to Xuanhan Jinfu to take wedding photos!	English	Completed		31	0.5	1699770067573	1699770098085	1699770067573	1699770098085	56225225	b...r@gmail.com	3	3	Completed	1699770098085
